id,titre,curation:theme,dcterms:valid,curation:number
72556,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 1, Cours du 6 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,1
72560,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 2, Cours du 13 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,2
72563,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 3, Cours du 20 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,3
72565,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 4, Cours du 27 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,4
72568,"[Anti-Oedipe et autres réflexions] : année universitaire 1979-1980. 1, Cours du 27 mai 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Anti-Oedipe et autres réflexions,1979-1980,1
72570,"[Anti-Oedipe et autres réflexions] : année universitaire 1979-1980. 2, Cours du 3 juin 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Anti-Oedipe et autres réflexions,1979-1980,2
72572,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 5, Cours du 15 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,5
72575,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 6, Cours du 22 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,6
72580,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 7, Cours du 29 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,7
72584,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 8, Cours du 5 février 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,8
72586,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 9, Cours du 26 février 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,9
72588,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 10, Cours du 4 mars 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,10
72589,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 11, Cours du 11 mars 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,11
72591,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 12, Cours du 18 mars 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,12
72592,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 13, Cours du 25 mars 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Appareils d'État et machines de guerre,1979-1980,13
72594,"[Sur Leibniz] : année universitaire 1979-1980. 1, Cours du 15 avril 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Leibniz,1979-1980,1
72597,"[Sur Leibniz] : année universitaire 1979-1980. 2, Cours du 22 avril 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Leibniz,1979-1980,2
72599,"[Sur Leibniz] : année universitaire 1979-1980. 3, Cours du 29 avril 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Leibniz,1979-1980,3
72601,"[Sur Leibniz] : année universitaire 1979-1980. 4, Cours du 6 mai 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Leibniz,1979-1980,4
72604,"[Sur Leibniz] : année universitaire 1979-1980. 5, Cours du 20 mai 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Leibniz,1979-1980,5
72607,"[Sur Spinoza] : année universitaire 1980-1981. 01, Cours du 2 décembre 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,1
72608,"[Sur Spinoza] : année universitaire 1980-1981. 02, Cours du 9 décembre 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,2
72610,"[Sur Spinoza] : année universitaire 1980-1981. 03, Cours du 16 décembre 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,3
72614,"[Cours sur le cinéma, 01]. Cours du 10 novembre 1981 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant",Sur le cinéma,1981-1982,1
72615,"[Cours sur le cinéma. 2, Cours du 17 novembre 1981] (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant",Sur le cinéma,1981-1982,2
72616,"[Cours sur le cinéma. 3, Cours du 24 novembre 1981] (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant",Sur le cinéma,1981-1982,3
72618,"[Cours sur le cinéma. 4, Cours du 1er décembre 1981] (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant",Sur le cinéma,1981-1982,4
72620,"[Sur la peinture] : année universitaire 1980-1981. 02, Cours du 7 avril 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur la peinture,1980-1981,2
72622,"[Sur la peinture] : année universitaire 1980-1981. 03, Cours du 28 avril 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur la peinture,1980-1981,3
72624,"[Sur la peinture] : année universitaire 1980-1981. 04, Cours du 5 mai 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur la peinture,1980-1981,4
72625,"[Sur la peinture] : année universitaire 1980-1981. 05, Cours du 12 mai 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur la peinture,1980-1981,5
72627,"[Sur la peinture] : année universitaire 1980-1981. 06, Cours du 19 mai 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur la peinture,1980-1981,6
72630,"[Sur la peinture] : année universitaire 1980-1981. 07, Cours du 26 mai 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur la peinture,1980-1981,7
72632,"[Sur la peinture] : année universitaire 1980-1981. 08, Cours du 2 juin 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur la peinture,1980-1981,8
72634,"[Sur Spinoza] : année universitaire 1980-1981. 04, Cours du 6 janvier 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,4
72638,"[Sur Spinoza] : année universitaire 1980-1981. 05, Cours du 13 janvier 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,5
72641,"[Sur Spinoza] : année universitaire 1980-1981. 06, Cours du 20 janvier 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,6
72645,"[Sur Spinoza] : année universitaire 1980-1981. 07, Cours du 27 janvier 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,7
72648,"[Sur Spinoza] : année universitaire 1980-1981. 08, Cours du 3 février 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,8
72651,"[Sur Spinoza] : année universitaire 1980-1981. 09, Cours du 10 février 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,9
72653,"[Sur Spinoza] : année universitaire 1980-1981. 10, Cours du 17 février 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,10
72655,"[Sur Spinoza] : année universitaire 1980-1981. 11, Cours du 10 mars 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,11
72657,"[Sur Spinoza] : année universitaire 1980-1981. 12, Cours du 17 mars 1981 (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,12
72659,"[Sur Spinoza] : année universitaire 1980-1981. 13, Cours du 24 mars 1981 (1) ; [Sur la peinture]. 01, Cours du 24 mars 1981, deuxième heure (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur la peinture,1980-1981,1
72661,"[Sur Spinoza] : année universitaire 1980-1981. 13, Cours du 24 mars 1981 (2) (Reproduction numérisée) Gilles Deleuze, aut., participant",Sur Spinoza,1980-1981,14
72663,"[Cours sur le cinéma. 5, Cours du 5 janvier 1982] (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant",Sur le cinéma,1981-1982,5
72665,"[Cours sur le cinéma. 6, Cours du 12 janvier 1982] (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant",Sur le cinéma,1981-1982,6
72667,"[Cours sur le cinéma. 7, Cours du 19 janvier 1982] (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant",Sur le cinéma,1981-1982,7
72669,"[Cours sur le cinéma. 8, Cours du 26 janvier 1982] (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant",Sur le cinéma,1981-1982,8
72671,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 01, Cours du 2 février 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,1
72674,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 02, Cours du 23 février 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,2
72676,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 03, Cours du 2 mars 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,3
72677,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 04, Cours du 9 mars 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,4
72680,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 05, Cours du 16 mars 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,5
72682,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 06, Cours du 23 mars 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,6
72685,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 07, Cours du 20 avril 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,7
72689,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 08, Cours du 27 avril 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,8
72693,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 09, Cours du 4 mai 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,9
72696,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 10, Cours du 11 mai 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,10
72697,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 11, Cours du 20 mai 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,11
72699,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 12, Cours du 25 mai 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,12
72700,"[Sur le cinéma]. L'image-mouvement et l'image-temps : année universitaire 1981-1982. 13, Cours du 1er juin 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-mouvement et l'image-temps,1981-1982,13
72702,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 01, Cours du 2 novembre 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,1
72703,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 02, Cours du 23 novembre 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,2
72704,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 03, Cours du 30 novembre 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,3
72706,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 04, Cours du 7 décembre 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,4
72708,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 05, Cours du 14 décembre 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,5
72709,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 06, Cours du 21 décembre 1982 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,6
72710,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 07, Cours du 11 janvier 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,7
72711,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 08, Cours du 18 janvier 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,8
72712,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 09, Cours du 25 janvier 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,9
72713,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 10, Cours du 1 février 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,10
72715,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 11, Cours du 22 février 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,11
72719,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 12, Cours du 1er mars 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,12
72722,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 13, Cours du 8 mars 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,13
72725,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 14, Cours du 15 mars 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,14
72726,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 15, Cours du 22 mars 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,15
72728,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 16, Cours du 12 avril 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,16
72729,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 17, Cours du 19 avril 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,17
72730,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 18, Cours du 26 avril 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,18
72732,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 19, Cours du 3 mai 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,19
72733,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 20, Cours du 17 mai 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,20
72734,"[Sur le cinéma]. Classification des signes et du temps : année universitaire 1982-1983. 21, Cours du 24 mai 1983 (Reproduction numérisée) Gilles Deleuze, aut., participant",Classification des signes et du temps,1982-1983,21
