Identifiant,n° notice BnF,Type de notice ,Type de document,Localisation,Exemplaire n°,Titre,Auteur,Contributeur,Editeur,Date,Description,Sujet,Couverture,Langue,Format
http://catalogue.bnf.fr/ark:/12148/cb38466561f,38466561,monographie,enregistrement sonore,Document numérique | NUMAUD-128269 | ,1,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 1, Cours du 6 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310748numéro de fabrication,Travail | Monade (philosophie) | Pouvoir (philosophie) | ,,fre | français | ,"2 disques compacts enregistrables (45 min 12 s, 45 min 11 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466561f,38466561,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-594 (3) | ,2,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 1, Cours du 6 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310748numéro de fabrication,Travail | Monade (philosophie) | Pouvoir (philosophie) | ,,fre | français | ,"2 disques compacts enregistrables (45 min 12 s, 45 min 11 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466561f,38466561,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-594 (4) | ,3,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 1, Cours du 6 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310748numéro de fabrication,Travail | Monade (philosophie) | Pouvoir (philosophie) | ,,fre | français | ,"2 disques compacts enregistrables (45 min 12 s, 45 min 11 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466598s,38466598,monographie,enregistrement sonore,Document numérique | NUMAUD-128270 | ,1,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 2, Cours du 13 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310754numéro de fabrication,Aliénation sociale | Aliénation (philosophie) | Pouvoir (sciences sociales) | ,,fre | français | ,"3 disques compacts enregistrables (46 min 17 s, 46 min 17 s, 40 min 27 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466598s,38466598,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-595 (3) | ,2,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 2, Cours du 13 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310754numéro de fabrication,Aliénation sociale | Aliénation (philosophie) | Pouvoir (sciences sociales) | ,,fre | français | ,"3 disques compacts enregistrables (46 min 17 s, 46 min 17 s, 40 min 27 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466598s,38466598,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-595 (4) | ,3,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 2, Cours du 13 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310754numéro de fabrication,Aliénation sociale | Aliénation (philosophie) | Pouvoir (sciences sociales) | ,,fre | français | ,"3 disques compacts enregistrables (46 min 17 s, 46 min 17 s, 40 min 27 s)"
http://catalogue.bnf.fr/ark:/12148/cb384666026,38466602,monographie,enregistrement sonore,Document numérique | NUMAUD-128271 | ,1,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 3, Cours du 20 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310738numéro de fabrication,Territorialité humaine | Valeur | Villes -- Histoire | État -- Philosophie | ,,fre | français | ,"2 disques compacts enregistrables (46 min 15 s, 1 h 09 min 44 s)"
http://catalogue.bnf.fr/ark:/12148/cb384666026,38466602,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-596 (3) | ,2,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 3, Cours du 20 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310738numéro de fabrication,Territorialité humaine | Valeur | Villes -- Histoire | État -- Philosophie | ,,fre | français | ,"2 disques compacts enregistrables (46 min 15 s, 1 h 09 min 44 s)"
http://catalogue.bnf.fr/ark:/12148/cb384666026,38466602,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-596 (4) | ,3,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 3, Cours du 20 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310738numéro de fabrication,Territorialité humaine | Valeur | Villes -- Histoire | État -- Philosophie | ,,fre | français | ,"2 disques compacts enregistrables (46 min 15 s, 1 h 09 min 44 s)"
http://catalogue.bnf.fr/ark:/12148/cb384666355,38466635,monographie,enregistrement sonore,Document numérique | NUMAUD-128273 | ,1,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 4, Cours du 27 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310700numéro de fabrication,Organisme (philosophie) | Valeur | Villes | ,,fre | français | ,"2 disques compacts enregistrables (46 min 29 s, 46 min 27 s)"
