idOmk,idArk,dcterms:date
72556,ark:/12148/cb38466561f,1979-11-06
72560,ark:/12148/cb38466598s,1979-11-13
72563,ark:/12148/cb384666026,1979-11-20
72565,ark:/12148/cb384666355,1979-11-27
72568,ark:/12148/cb38466772n,1980-05-27
72570,ark:/12148/cb38466778q,1980-06-03
72572,ark:/12148/cb38466609m,1980-01-15
72575,ark:/12148/cb384666146,1980-01-22
72580,ark:/12148/cb38466618k,1980-01-29
72584,ark:/12148/cb384666386,1980-02-05
72586,ark:/12148/cb38466639j,1980-02-26
72588,ark:/12148/cb38466642f,1980-03-04
72589,ark:/12148/cb38466643s,1980-03-11
72591,ark:/12148/cb384666444,1980-03-18
72592,ark:/12148/cb384666533,1980-03-25
72594,ark:/12148/cb384667285,1980-04-15
72597,ark:/12148/cb38466748s,1980-04-22
72599,ark:/12148/cb38466751p,1980-04-29
72601,ark:/12148/cb384667521,1980-05-06
72604,ark:/12148/cb384667719,1980-05-20
72607,ark:/12148/cb384667792,1980-12-02
72608,ark:/12148/cb38466781m,1980-12-02
72610,ark:/12148/cb384667839,1980-12-16
72614,ark:/12148/cb385030858,1981-11-10
72615,ark:/12148/cb38503096x,1981-11-17
72616,ark:/12148/cb38503095k,1981-11-24
72618,ark:/12148/cb385030947,1981-12-01
72620,ark:/12148/cb38474680q,1981-04-07
72622,ark:/12148/cb38474698s,1981-04-28
72624,ark:/12148/cb38474692q,1981-05-05
72625,ark:/12148/cb38508295b,1981-05-12
72627,ark:/12148/cb385083096,1981-05-19
72630,ark:/12148/cb38508293n,1981-05-23
72632,ark:/12148/cb38508313f,1981-06-02
72634,ark:/12148/cb38466784n,1981-01-06
72638,ark:/12148/cb384691345,1981-01-13
72641,ark:/12148/cb38469136v,1981-01-20
72645,ark:/12148/cb38469139w,1981-01-27
72648,ark:/12148/cb384691403,1981-02-03
72651,ark:/12148/cb38469141f,1981-02-10
72653,ark:/12148/cb38469142s,1981-02-17
72655,ark:/12148/cb384691434,1981-03-10
72657,ark:/12148/cb38469144g,1981-03-17
72659,ark:/12148/cb384691465,1981-03-31
72661,ark:/12148/cb38469145t,1981-03-24
72663,ark:/12148/cb38503093w,1982-01-05
72665,ark:/12148/cb385031230,1982-01-12
72667,ark:/12148/cb38503124b,1982-01-19
72669,ark:/12148/cb38503125p,1982-01-26
72671,ark:/12148/cb38475181x,1982-02-02
72674,ark:/12148/cb384751979,1982-02-23
72676,ark:/12148/cb38475198n,1982-03-02
72677,ark:/12148/cb384751990,1982-03-09
72680,ark:/12148/cb38475201q,1982-03-16
72682,ark:/12148/cb38475207s,1982-03-23
72685,ark:/12148/cb384752727,1982-04-20
72689,ark:/12148/cb38475291h,1982-04-27
72693,ark:/12148/cb38475297k,1982-05-04
